# loss,acc,val_loss,val_acc
1.102899999999999991e+00,6.098999999999999977e-01,1.057399999999999896e+00,6.289000000000000146e-01
1.090000000000000080e+00,6.140999999999999792e-01,1.041800000000000059e+00,6.361999999999999877e-01
1.072799999999999976e+00,6.215000000000000524e-01,1.031199999999999894e+00,6.370000000000000107e-01
1.079700000000000104e+00,6.169999999999999929e-01,1.038899999999999935e+00,6.329000000000000181e-01
1.075499999999999901e+00,6.199999999999999956e-01,1.036000000000000032e+00,6.337000000000000410e-01
1.067399999999999904e+00,6.238000000000000211e-01,1.028899999999999926e+00,6.394999999999999574e-01
1.052999999999999936e+00,6.280000000000000027e-01,1.008899999999999908e+00,6.441999999999999948e-01
1.065099999999999936e+00,6.242999999999999661e-01,1.020199999999999996e+00,6.410000000000000142e-01
1.053500000000000103e+00,6.264999999999999458e-01,1.003100000000000103e+00,6.505999999999999561e-01
1.039400000000000102e+00,6.341999999999999860e-01,9.971999999999999753e-01,6.470000000000000195e-01
1.037500000000000089e+00,6.318000000000000282e-01,1.010599999999999943e+00,6.442999999999999838e-01
1.029400000000000093e+00,6.356000000000000538e-01,1.012799999999999923e+00,6.410000000000000142e-01
1.030399999999999983e+00,6.375999999999999446e-01,9.959999999999999964e-01,6.505999999999999561e-01
1.017900000000000027e+00,6.431000000000000050e-01,9.637999999999999901e-01,6.622000000000000108e-01
1.013400000000000079e+00,6.422999999999999821e-01,9.829999999999999849e-01,6.535999999999999588e-01
1.010099999999999998e+00,6.430000000000000160e-01,9.659999999999999698e-01,6.590000000000000302e-01
1.006199999999999983e+00,6.450000000000000178e-01,9.825000000000000400e-01,6.532000000000000028e-01
9.969000000000000083e-01,6.502999999999999892e-01,9.608999999999999764e-01,6.662000000000000144e-01
9.834000000000000519e-01,6.552999999999999936e-01,9.612000000000000544e-01,6.610000000000000320e-01
9.926000000000000378e-01,6.520000000000000240e-01,9.384000000000000119e-01,6.730000000000000426e-01
9.775000000000000355e-01,6.532000000000000028e-01,9.518999999999999684e-01,6.644999999999999796e-01
9.806000000000000272e-01,6.540000000000000258e-01,9.537999999999999812e-01,6.641000000000000236e-01
9.791999999999999593e-01,6.584999999999999742e-01,9.516999999999999904e-01,6.673000000000000043e-01
9.681999999999999496e-01,6.599000000000000421e-01,9.323000000000000176e-01,6.701000000000000290e-01
9.717000000000000082e-01,6.581000000000000183e-01,9.375000000000000000e-01,6.713000000000000078e-01
9.569999999999999618e-01,6.656999999999999584e-01,9.145999999999999686e-01,6.844000000000000083e-01
9.600999999999999535e-01,6.630000000000000338e-01,9.122999999999999998e-01,6.806999999999999718e-01
9.534000000000000252e-01,6.622999999999999998e-01,9.232000000000000206e-01,6.750000000000000444e-01
9.495000000000000107e-01,6.653000000000000025e-01,9.098000000000000531e-01,6.800000000000000488e-01
9.506000000000000005e-01,6.671000000000000263e-01,8.843999999999999639e-01,6.909999999999999476e-01
9.422000000000000375e-01,6.701000000000000290e-01,9.258999999999999453e-01,6.720000000000000417e-01
9.364000000000000101e-01,6.723999999999999977e-01,9.028000000000000469e-01,6.787999999999999590e-01
9.325999999999999845e-01,6.732000000000000206e-01,8.979000000000000314e-01,6.861000000000000432e-01
9.192000000000000171e-01,6.785999999999999810e-01,8.958000000000000407e-01,6.865999999999999881e-01
9.287999999999999590e-01,6.715999999999999748e-01,8.811999999999999833e-01,6.894000000000000128e-01
9.157999999999999474e-01,6.778999999999999471e-01,8.925999999999999490e-01,6.886999999999999789e-01
9.176999999999999602e-01,6.772000000000000242e-01,8.911999999999999922e-01,6.870000000000000551e-01
9.186999999999999611e-01,6.781000000000000361e-01,8.911999999999999922e-01,6.845999999999999863e-01
9.054999999999999716e-01,6.816999999999999726e-01,8.753999999999999559e-01,6.906999999999999806e-01
9.098000000000000531e-01,6.804999999999999938e-01,8.881000000000000005e-01,6.870000000000000551e-01
9.069000000000000394e-01,6.785999999999999810e-01,8.781999999999999806e-01,6.922000000000000375e-01
8.987000000000000544e-01,6.844999999999999973e-01,8.875999999999999446e-01,6.887999999999999678e-01
9.012000000000000011e-01,6.847999999999999643e-01,8.803999999999999604e-01,6.897999999999999687e-01
8.901000000000000023e-01,6.881000000000000449e-01,8.591999999999999638e-01,6.988999999999999657e-01
8.921000000000000041e-01,6.866999999999999771e-01,8.585000000000000409e-01,6.995999999999999996e-01
8.852999999999999758e-01,6.881000000000000449e-01,8.561999999999999611e-01,7.008999999999999675e-01
8.897000000000000464e-01,6.873000000000000220e-01,8.618000000000000105e-01,6.946999999999999842e-01
8.801999999999999824e-01,6.911000000000000476e-01,8.481999999999999540e-01,7.015000000000000124e-01
8.846000000000000529e-01,6.886999999999999789e-01,8.504000000000000448e-01,7.015000000000000124e-01
8.685000000000000497e-01,6.962000000000000410e-01,8.336000000000000076e-01,7.079999999999999627e-01
8.756000000000000449e-01,6.929999999999999494e-01,8.405000000000000249e-01,7.035000000000000142e-01
8.743999999999999551e-01,6.925999999999999934e-01,8.314000000000000279e-01,7.057999999999999829e-01
8.626000000000000334e-01,6.976999999999999869e-01,8.429999999999999716e-01,7.036999999999999922e-01
8.645000000000000462e-01,6.948999999999999622e-01,8.306000000000000050e-01,7.130999999999999561e-01
8.660999999999999810e-01,6.979999999999999538e-01,8.434000000000000385e-01,7.036999999999999922e-01
